1 Star,بند واجهة
2 Star,بند واجهة
3 Star,بند واجهة
4 Star,بند واجهة
5 Star,بند واجهة
5 Star Deluxe,بند واجهة
<,<
<=,<=
>,>
>=,>=
Accepted,مقبول
Accounting,المحاسبة
Accounts Manager,بند واجهة
Accounts Payable,الذمم الدائنة
Accounts Receivable,الذمم المدينة
Accounts User,بند واجهة
Accum. Depreciation,بند واجهة
Accumulated Depreciation,بند واجهة
Accumulated depreciation,بند واجهة
Accumulated depreciation account,بند واجهة
Acknowledged,مُقرّ به
acquired,بند واجهة
Acquisition,بند واجهة
Acquisition Cost,بند واجهة
Acquisition cost,بند واجهة
Acquisition Date,بند واجهة
Acquisition documents over time,بند واجهة
Action,إجراء
Action Payload,بند واجهة
Action Type,إجراء النوع
Actions,إجراءات
Active,نشط
Actual Cost,بند واجهة
add_asset,بند واجهة
Address,العنوان
Administrator,المسؤول
Age Weight,بند واجهة
Agriculture,الزراعة
AI & Intelligence,الذكاء الاصطناعي والتحليلات
AI Recommendation,AI التوصية
Alert,تنبيه
Alert Category,تنبيه الفئة
Alert name is required.,تنبيه الاسم is مطلوب .
Alert Time,بند واجهة
Alert Type,تنبيه النوع
All,الكل
All activities,كل الأنشطة
All branches,كل الفروع
Allow Photo,بند واجهة
Allow Signature,بند واجهة
ALM,إدارة الأصول والخصوم
Already completed.,بند واجهة
Amended From,معدّل من
Amount,المبلغ
Amount exceeds remaining depreciable balance ({0}).,بند واجهة
Amount must be positive.,يجب أن المبلغ بند واجهة.
Analytics Dashboard,لوحة التحليلات
Annual percentage applied to carrying amount (monthly = annual / 12). Used when method is Declining Balance.,بند واجهة / بند واجهة
Annual Premium,بند واجهة
Antenna ID,ID — بند واجهة
API,واجهة API
API Token,API — بند واجهة
Approval,موافقة
Approved,معتمد
Area Code,بند واجهة
Area Code must be unique per hotel property.,يجب أن بند واجهة بند واجهة.
Area Name,بند واجهة
Area Type,بند واجهة
As Of,حتى
As Of Date,As Of التاريخ
Asset,بند واجهة
Asset account,بند واجهة
Asset Alert,بند واجهة
Asset Condition Snapshot,بند واجهة
Asset cost in books at validation time.,بند واجهة
Asset Count,بند واجهة
Asset Depreciation Schedule,بند واجهة
Asset Disposal Report,تقرير بند واجهة
Asset does not exist.,بند واجهة
Asset Failure Event,بند واجهة
Asset has no gross book value to derecognize.,بند واجهة
Asset Health Formula Settings,إعدادات بند واجهة
Asset Health Report,تقرير بند واجهة
Asset Health Rule,بند واجهة
Asset Inspection,بند واجهة
Asset Inspection Template,بند واجهة
Asset Inspection Template Line,بند واجهة
Asset Insurance,تأمين الأصول
Asset Insurance Register,سجل تأمين الأصول
Asset IoT Gateway Settings,إعدادات IoT — بند واجهة
Asset is already disposed.,بند واجهة
Asset is required.,بند واجهة
Asset Level,بند واجهة
Asset Lifecycle Wizard Session,بند واجهة
Asset Lifecycle Wizards,بند واجهة
Asset Maintenance Report,تقرير بند واجهة
Asset Media & Attachments,بند واجهة و مرفقات
Asset Media Attachment,بند واجهة
Asset Meter Reading,بند واجهة
Asset Meter Reading DocType is not installed,بند واجهة
Asset Movement Report,تقرير بند واجهة
Asset must belong to the same company and branch.,يجب أن بند واجهة ينتمي إلى نفس الشركة و الفرع.
Asset Name,بند واجهة
Asset name,بند واجهة
Asset not found.,بند واجهة
Asset not seen via RFID for {0}+ days — missing risk.,RFID — بند واجهة — مفقود مخاطر .
Asset Owner,بند واجهة
Asset Path,بند واجهة
Asset Recommendation,بند واجهة
Asset Register Report,تقرير سجل بند واجهة
Asset Relationship,بند واجهة
Asset Reliability Trend,بند واجهة
Asset Risk Matrix,بند واجهة
Asset Risk Register,سجل بند واجهة
Asset Threshold Profile,بند واجهة
Asset uses cost model; revaluation is optional under IAS 16 revaluation model.,بند واجهة
Asset Valuation Report,تقرير بند واجهة
Asset Work Order,بند واجهة
Asset {0} does not exist.,بند واجهة
"Asset, linen RFID tag, or identifier is required.",RFID — بند واجهة
Assets,بند واجهة
Assets by category,بند واجهة
Assets by lifecycle status,بند واجهة
Assets by Room,بند واجهة
Assigned,بند واجهة
Assigned To,مُسند إلى
Assigned To Me,المُسند إليّ
Attachments,المرفقات
Audit,التدقيق
Audit reconciliation wizard,بند واجهة
audit_reconciliation,بند واجهة
Auditor,بند واجهة
Auto Depreciation,بند واجهة
Auto-numbered asset code (equals document name).,بند واجهة
Automated depreciation entries support cost model only.,بند واجهة
Availability %,بند واجهة
Available,متاح
Back of House,بند واجهة
Balance Sheet,الميزانية العمومية
Bank Unmatched Statement Lines,بنود كشف بنك غير مطابقة
Barcode,بند واجهة
Barcode Image,بند واجهة
Bath Mat,بند واجهة
Bath Towel,بند واجهة
Bedsheet,بند واجهة
Billing & collections,الفوترة والتحصيل
Blanket,بند واجهة
Bookings & registration,الحجوزات والتسجيل
Boolean,بند واجهة
BOQ,جدول الكميات
Branch,الفرع
Branch belongs to a different company.,الفرع ينتمي لشركة أخرى.
Branch does not belong to this company.,بند واجهة
Branch filter (optional),بند واجهة
Branch is required — hotel demo is branch-scoped only.,الفرع is مطلوب — بند واجهة
Branch {0} does not exist.,الفرع {0} غير موجود.
Brand,بند واجهة
Budget & cost control,الميزانية وضبط التكلفة
Buy,المشتريات
CAM & recoveries,المصاريف المشتركة والاستردادات
CAM Budget,ميزانية المصاريف المشتركة
Campaign ROI,عائد الحملة
Cancel,إلغاء
Cancelled,ملغى
Cannot cancel a completed wizard.,بند واجهة
Cannot capitalize a disposed asset.,بند واجهة
Cannot edit a {0} wizard session.,بند واجهة
Cannot post depreciation for this asset status.,بند واجهة
Capacity (guests),بند واجهة
Capacity Warning,السعة تحذير
Capital Risk,بند واجهة
Capitalization,بند واجهة
Capitalization amount,بند واجهة
Capitalization amount must be positive.,يجب أن بند واجهة بند واجهة.
Capitalization date,بند واجهة
Capitalization journal entry,بند واجهة
Capitalize the asset before depreciation.,بند واجهة
Capitalized cost (Dr on acquisition),بند واجهة
Caption,بند واجهة
Car Rental,تأجير السيارات
Card Break,قسم
Carrying Amount,بند واجهة
Carrying amount,بند واجهة
Carrying amount (IAS 16.67–72),بند واجهة
Cash / bank account,نقدي / بند واجهة
Category,الفئة
Category Code,الفئة الرمز
Category does not exist.,بند واجهة
Category must belong to the same company.,يجب أن الفئة ينتمي إلى نفس الشركة.
Category Name,الفئة الاسم
Cause,بند واجهة
chainway,بند واجهة
Chart,مخطط
Chart of Accounts,دليل الحسابات
Check Item,بند واجهة
City / address or geographic label,المدينة / بند واجهة
Claim Amount,مبلغ المطالبة
Claim Date,بند واجهة
Claim Status,بند واجهة
Claims Register,سجل المطالبات
Classification Code,رمز التصنيف
Clean Storage,بند واجهة
Closed,مغلق
Collected,مجمّع
Color,بند واجهة
Commission Accrual,استحقاق العمولات
Commission Schedule,جدول العمولات
Company,الشركة
Company and floor are required.,بند واجهة
Company filter is required.,الشركة تصفية is مطلوب .
Company is required,الشركة is مطلوب
Company is required.,الشركة is مطلوب.
Company must match the selected Insurance Policy.,يجب أن الشركة بند واجهة.
Company Name,الشركة الاسم
Company {0} has no default currency; cannot post Journal Entry.,بند واجهة
Comparison Operator,بند واجهة
Completed,مكتمل
completed,مكتمل
Completed At,مكتمل At
Completion Date,بند واجهة
Compliance,امتثال
Compliance Basis,بند واجهة
Compliance checks complete,اكتملت فحوصات الامتثال
Compliance Exceptions,استثناءات الامتثال
Compliance Exceptions (IFRS),استثناءات الامتثال (IFRS)
Compliance Exceptions (Tax),استثناءات الامتثال (ضريبي)
Compliance Exceptions Dashboard,لوحة استثناءات الامتثال
Compliance Reference,امتثال المرجع
Compliance Reports,تقارير الامتثال
Condition,بند واجهة
Condition Expression,بند واجهة
Condition Rating (1-5),بند واجهة
Condition review wizard,بند واجهة
Condition State,بند واجهة
Condition Weight,بند واجهة
Conditional Branch Rule,بند واجهة
Confidence,الثقة
Confidence Score,بند واجهة
Connected To,بند واجهة
Construction,المقاولات
Construction & Engineering,المقاولات والهندسة
Consumer Finance,التمويل الاستهلاكي
Contact Person,بند واجهة
Contra-asset (Cr on depreciation),بند واجهة
Convention Center,بند واجهة
Core ERP,ERP الأساسي
Core Work Order,النواة عمل أمر
Corrective,بند واجهة
Cost,التكلفة
Cost & dates,التكلفة و بند واجهة
Cost Amount,التكلفة المبلغ
Cost Center,مركز التكلفة
Cost Efficiency Weight,بند واجهة
Cost Model,بند واجهة
Country,الدولة
Coverage period,بند واجهة
Coverage Type,بند واجهة
Create,إنشاء
Create Alert,أنشئ تنبيه
Create at least one Branch for company {0}.,بند واجهة
Create Inspection,بند واجهة
Create or review your first **Fixed Asset Category** record from this workspace.,أنشئ أو راجع أول سجل **بند واجهة** من مساحة العمل هذه.
Create or review your first **Fixed Asset Depreciation Method** record from this workspace.,أنشئ أو راجع أول سجل **بند واجهة** من مساحة العمل هذه.
Create or review your first **Fixed Asset Location** record from this workspace.,أنشئ أو راجع أول سجل **بند واجهة** من مساحة العمل هذه.
Create or review your first **Fixed Asset Status** record from this workspace.,أنشئ أو راجع أول سجل **بند واجهة** من مساحة العمل هذه.
Create or review your first **Fixed Asset** record from this workspace.,أنشئ أو راجع أول سجل **بند واجهة** من مساحة العمل هذه.
Create or review your first **Insurance Claim** record from this workspace.,أنشئ أو راجع أول سجل **بند واجهة** من مساحة العمل هذه.
Create or review your first **Insurance Policy** record from this workspace.,أنشئ أو راجع أول سجل **تأمين سياسة** من مساحة العمل هذه.
Create Work Order,أنشئ عمل أمر
Credit account (cash / payables),بند واجهة / بند واجهة
Credit account cannot be the same as the asset GL account.,GL — بند واجهة
Credit account must be a leaf account.,يجب أن بند واجهة بند واجهة.
Credit account must be a leaf GL account for this company.,يجب أن بند واجهة GL — بند واجهة.
Credit Engine,محرك الائتمان
"Credit for gain, debit for loss (balancing line).",بند واجهة
Credit Risk,مخاطر الائتمان
Critical,حرج
Critical Failure,بند واجهة
Critical Threshold,بند واجهة
Criticality,بند واجهة
Criticality Weight,بند واجهة
CRM,إدارة العملاء
Cross-module operations,عمليات متكاملة
Currency,العملة
Current Location,بند واجهة
Current Step,بند واجهة
Custodian,بند واجهة
Custom,مخصص
Custom Documents,المستندات المخصصة
Customer,العميل
Customer Portal,العميل بوابة
Cycle Date,بند واجهة
Cycle Number,بند واجهة
Damage Count,بند واجهة
Damaged,بند واجهة
Dashboard,لوحة معلومات
Days ahead cannot be negative.,بند واجهة
Days Remaining,بند واجهة
Days Since,بند واجهة
Days to Expiry,بند واجهة
Declining Balance,بند واجهة
Declining balance annual rate %,بند واجهة
Default declining balance rate % (annual),بند واجهة
Default depreciation,بند واجهة
Default depreciation (IAS 16),بند واجهة
Default depreciation method,بند واجهة
Default GL accounts (IAS 16),GL — بند واجهة
Default Location,بند واجهة
Default total units (UoP),بند واجهة
Default useful life (months),بند واجهة
Default useful life must be at least 1 month.,يجب أن بند واجهة بند واجهة.
Degradation Index,بند واجهة
Degraded,بند واجهة
Delete,حذف
Deluxe,بند واجهة
Department,بند واجهة
Depends On,بند واجهة
Depreciable amount,بند واجهة
Depreciation,بند واجهة
depreciation,بند واجهة
Depreciation Amount,بند واجهة
Depreciation amount,بند واجهة
Depreciation amount must be positive.,يجب أن بند واجهة بند واجهة.
Depreciation book,بند واجهة
Depreciation Entry,بند واجهة
Depreciation expense,بند واجهة
Depreciation expense account,بند واجهة
Depreciation method,بند واجهة
Depreciation start date,بند واجهة
Depreciation start date cannot be before capitalization date.,بند واجهة
Depreciation {0} — {1},بند واجهة — {1}
Derecognition {0} — {1},بند واجهة — {1}
Description,الوصف
Design & quantities (BOQ),التصميم والكميات (جدول الكميات)
Desk,المكتب
Desk User,المكتب مستخدم
Details,التفاصيل
Development Budget,ميزانية التطوير
Development Project,مشروع تطوير
Development Project Register,سجل مشاريع التطوير
Development project register,سجل مشاريع التطوير
Device,بند واجهة
Digital Channel,رقمي قناة
Dirty,بند واجهة
Disposal,بند واجهة
disposal,بند واجهة
Disposal Date,بند واجهة
Disposal date,بند واجهة
Disposal Reason Code,بند واجهة
Dispose,بند واجهة
Disposed,بند واجهة
disposed,بند واجهة
Docstatus,بند واجهة
Document,مستند
Documents & Integration,المستندات والتكامل
Done,منجز
Downtime (h),بند واجهة
Downtime (hours),بند واجهة
Downtime Hours,بند واجهة
Draft,مسودة
draft,مسودة
Duplicate,نسخ
Duplicate linen read suppressed.,بند واجهة
Duplicate read suppressed.,بند واجهة
Duvet,بند واجهة
E-Invoice,الفاتورة الإلكترونية
Edit,تعديل
Education,التعليم
Email,البريد الإلكتروني
Emergency,بند واجهة
Enable monthly auto depreciation,بند واجهة
Enabled,مفعّل
End Date,النهاية التاريخ
End Date cannot be before Start Date.,بند واجهة
Energy,بند واجهة
Engineering Attention,بند واجهة
Engineering Consulting,الاستشارات الهندسية
Engineering Manager,بند واجهة
Engineering Status,بند واجهة
Engineering Zone,بند واجهة
Enterprise Hierarchy,بند واجهة
Entity Name,بند واجهة
Entity Type,بند واجهة
Erpgenex Property Mgmt,إدارة العقارات
Erpgenex Realestate Dev,التطوير العقاري
Erpgenex Realestate Sales,التسويق العقاري
ERPGENEX — Core ERP,ERPGENEX — ERP الأساسي
ERPGENEX — Dashboard,ERPGENEX — لوحة المعلومات
Error Message,خطأ رسالة
Escalate,بند واجهة
Escalation Rule,قاعدة تصعيد الإيجار
Estimated Cost,بند واجهة
Event,حدث
Event Time,بند واجهة
Event Type,حدث النوع
events must be a JSON list.,يجب أن بند واجهة be JSON قائمة.
Excellent,بند واجهة
Executed at,بند واجهة
Execution Window,بند واجهة
Executive Dashboard,لوحة المدير التنفيذية
Expected Life Cycles,بند واجهة
Expired,منتهي
Expiring Policies Report,تقرير بند واجهة
Explore this workspace,استكشف مساحة العمل
External Event ID,ID — بند واجهة
Extreme,بند واجهة
Face Towel,بند واجهة
Factoring,التخصيم
Fail,بند واجهة
Failed,فشل
Failure Analysis Report,تقرير بند واجهة
Failure Count,بند واجهة
Failure Freq,بند واجهة
Failure Frequency,بند واجهة
Failure Spike,بند واجهة
Fair,بند واجهة
Field PWA,تطبيق الميدان
File,ملف
Filters,المرشحات
Finance Asset Controller,بند واجهة
Finance Control Exceptions,استثناءات الضوابط المالية
Finance Control Violations,مخالفات الضوابط المالية
Finance Controls,الضوابط المالية
Finance Desk,بند واجهة
Finance Engine,محرك التمويل
Finance Group,المجموعة المالية
Finance SoD Blocks,حظر فصل المهام (SoD)
Finance Workcenter,مركز عمل المالية
First Time,بند واجهة
Fixed,بند واجهة
Fixed Asset,بند واجهة
Fixed Asset Acquisition,بند واجهة
Fixed asset acquisition {0} — {1},بند واجهة — {1}
Fixed Asset Auto Depreciation Policy,بند واجهة
Fixed Asset Category,بند واجهة
Fixed Asset Depreciation Entry,بند واجهة
Fixed Asset Depreciation Method,بند واجهة
Fixed Asset Depreciation Posting Summary,ملخص بند واجهة
Fixed Asset Disposal,بند واجهة
Fixed Asset does not exist.,بند واجهة
Fixed Asset Inspection,بند واجهة
Fixed Asset Location,بند واجهة
Fixed Asset Maintenance,بند واجهة
Fixed Asset Movement Log,بند واجهة
Fixed Asset must belong to the same company.,يجب أن بند واجهة ينتمي إلى نفس الشركة.
Fixed Asset NBV by Category,بند واجهة
Fixed Asset Revaluation,بند واجهة
Fixed Asset Status,بند واجهة
Fixed Asset Summary,ملخص بند واجهة
Fixed Asset Transfer,بند واجهة
Fixed Asset Write-Off,بند واجهة
Fixed Assets,الأصول الثابتة
Fixed assets,بند واجهة
Fixed Assets Workcenter,بند واجهة
Floor,بند واجهة
Floor Label,بند واجهة
Floor Plan,بند واجهة
Floor Plan Image,بند واجهة
Food & Beverage,طعام و بند واجهة
For units-of-production method only.,بند واجهة
Form,نموذج
From Date and To Date are required.,بند واجهة
From Hotel Property,بند واجهة
From Hotel Room,بند واجهة
From Location,من الموقع
From Property,من عقار
From Room,بند واجهة
From room and To room cannot be the same.,بند واجهة
fully_depreciated,بند واجهة
Functional Area,بند واجهة
Functional Area must belong to the same hotel property.,يجب أن بند واجهة بند واجهة.
Functional Location,بند واجهة
Functional Location Name,بند واجهة
Further,المزيد
Gain / Loss,بند واجهة / بند واجهة
Gain or loss,بند واجهة
Gain or loss on disposal (P&L),بند واجهة
Gallery,بند واجهة
Gate,بند واجهة
Gateway API Key,API — بند واجهة
Gateway ID,ID — بند واجهة
Gateway ID and API token are required.,ID API — بند واجهة
Gateway Name,بند واجهة
Gateway Offline,بند واجهة
Gateway rate limit exceeded.,بند واجهة
General Ledger,دفتر الأستاذ العام
generic,بند واجهة
Get started with Fixed Asset,بند واجهة
Get started with Fixed Asset Category,بند واجهة
Get started with Fixed Asset Depreciation Method,بند واجهة
Get started with Fixed Asset Location,بند واجهة
Get started with Fixed Asset Status,بند واجهة
Get started with Insurance Claim,بند واجهة
Get started with Insurance Policy,بند واجهة
GL,الأستاذ العام
GL & hierarchy,GL و بند واجهة
GL Account,حساب GL
GL Account {0} does not exist.,GL — بند واجهة
GL Accounts,GL — بند واجهة
GL accounts,GL — بند واجهة
GL accounts (override),GL — بند واجهة
Global Defaults,الإعدادات العامة
Global Hospitality Portfolio,بند واجهة
Good,بند واجهة
Governance,الحوكمة
Governance Overview,نظرة عامة على الحوكمة
Gross Carrying Amount,بند واجهة
Gross carrying amount,بند واجهة
Gross less accumulated depreciation before derecognition.,بند واجهة
Guest,زائر
Guest Rooms,بند واجهة
Hand Towel,بند واجهة
Handheld,بند واجهة
Handover & defects (snagging),التسليم والعيوب
Handover Package,حزمة التسليم
Health,بند واجهة
